"Time of Day","Process Name","PID","Operation","Path","Result","Detail","Image Path","Parent PID"
"2:23:00.5257059 PM","RAT.exe","2176","QueryBasicInformationFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","CreationTime: 12/12/2023 5:05:28 PM, LastAccessTime: 6/23/2025 2:23:00 PM, LastWriteTime: 12/12/2023 5:05:28 PM, ChangeTime: 6/23/2025 2:13:06 PM, FileAttributes: A","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5257454 PM","RAT.exe","2176","QueryBasicInformationFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","CreationTime: 12/12/2023 5:05:28 PM, LastAccessTime: 6/23/2025 2:23:00 PM, LastWriteTime: 12/12/2023 5:05:28 PM, ChangeTime: 6/23/2025 2:13:06 PM, FileAttributes: A","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5257607 PM","RAT.exe","2176","QueryNameInformationFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","Name: \Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5260046 PM","RAT.exe","2176","QueryStandardInformationFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","AllocationSize: 86,016, EndOfFile: 84,480, NumberOfLinks: 1, DeletePending: False, Directory: False","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5260972 PM","RAT.exe","2176","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Layers\C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","NAME NOT FOUND","Length: 1,024","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5261272 PM","RAT.exe","2176","RegQueryValue","HKCU\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Layers\C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","NAME NOT FOUND","Length: 1,024","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5261750 PM","RAT.exe","2176","QueryStandardInformationFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","AllocationSize: 86,016, EndOfFile: 84,480, NumberOfLinks: 1, DeletePending: False, Directory: False","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5261873 PM","RAT.exe","2176","CreateFileMapping","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ|PAGE_NOCACHE","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5261962 PM","RAT.exe","2176","QueryStandardInformationFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","AllocationSize: 86,016, EndOfFile: 84,480, NumberOfLinks: 1, DeletePending: False, Directory: False","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5262051 PM","RAT.exe","2176","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5262140 PM","RAT.exe","2176","CreateFileMapping","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","SyncType: SyncTypeOther","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5262225 PM","RAT.exe","2176","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5274665 PM","RAT.exe","2176","QuerySecurityFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","Information: Owner, Group, DACL, SACL, Label, Attribute, Process Trust Label, 0x100","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5275508 PM","RAT.exe","2176","QueryBasicInformationFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","CreationTime: 12/12/2023 5:05:28 PM, LastAccessTime: 6/23/2025 2:23:00 PM, LastWriteTime: 12/12/2023 5:05:28 PM, ChangeTime: 6/23/2025 2:13:06 PM, FileAttributes: A","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5276071 PM","RAT.exe","2176","CreateFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5276516 PM","RAT.exe","2176","QueryOpen","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","FAST IO DISALLOWED","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
